"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.007790305651724339,3.433468103408814,0.05993156507611275,82.0,1.0,13.0,3.434,934115218.0,934115218.0
0.009030148386955261,3.449254512786865,0.1807683855295181,84.0,3.0,15.0,3.454,934115222.0,934115222.0
0.009597543627023697,3.436858415603638,0.300687313079834,74.0,5.0,16.0,3.45,934115227.0,934115227.0
0.01082628779113293,3.44610333442688,0.4231303632259369,72.0,7.0,18.0,3.472,934115232.0,934115232.0
0.01199791114777327,3.437134504318237,0.544391930103302,86.0,9.0,20.0,3.48,934115236.0,934115236.0
0.01257806085050106,3.431745529174805,0.6670682430267334,35.0,11.0,21.0,3.496,934115241.0,934115241.0
0.01439882535487413,3.437446117401123,-0.06000137329101563,86.0,14.0,24.0,3.438,934115248.0,934115248.0
0.01974074728786945,3.427421092987061,0.05982685089111328,80.0,1.0,33.0,3.428,934115273.0,934115273.0
0.02111903950572014,3.457190990447998,0.1811870783567429,84.0,3.0,35.0,3.462,934115278.0,934115278.0
0.0216193962842226,3.440788507461548,0.3010359406471252,74.0,5.0,36.0,3.454,934115282.0,934115282.0
0.02282903715968132,3.442074298858643,0.4226428866386414,73.0,7.0,38.0,3.468,934115287.0,934115287.0
0.02402325719594955,3.441022396087647,0.545017659664154,81.0,9.0,40.0,3.484,934115292.0,934115292.0
0.02457106113433838,3.43364405632019,0.6674498915672302,35.0,11.0,41.0,3.498,934115296.0,934115296.0
0.02647444605827332,3.447373151779175,-0.06017589569091797,91.0,14.0,44.0,3.448,934115303.0,934115303.0
0.03179704397916794,3.437329292297363,0.06000137329101563,85.0,1.0,53.0,3.438,934115328.0,934115328.0
0.03250809013843536,3.449113130569458,0.1807683855295181,83.0,3.0,54.0,3.454,934115333.0,934115333.0
0.03370774909853935,3.448661327362061,0.3017331957817078,69.0,5.0,56.0,3.462,934115338.0,934115338.0
0.03480378910899162,3.438003778457642,0.4221554100513458,75.0,7.0,58.0,3.464,934115342.0,934115342.0
0.03551533073186874,3.448824882507324,0.5462691783905029,84.0,9.0,59.0,3.492,934115347.0,934115347.0
0.03655656427145004,3.433537244796753,0.6674498915672302,35.0,11.0,61.0,3.498,934115351.0,934115351.0
0.03861954435706139,3.457257747650147,-0.06035042181611061,96.0,14.0,64.0,3.458,934115358.0,934115358.0
0.04379536956548691,3.43719744682312,0.06000137329101563,82.0,1.0,73.0,3.438,934115384.0,934115384.0
0.04509721696376801,3.444976806640625,0.180559054017067,83.0,3.0,75.0,3.45,934115388.0,934115388.0
