"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.02098600193858147,3.435412645339966,0.05996646732091904,85.0,1.0,35.0,3.436,565065653.0,565065653.0
0.02219684980809689,3.437211275100708,0.1801403611898422,87.0,3.0,37.0,3.442,565065658.0,565065658.0
0.02288652583956718,3.450742483139038,0.301907479763031,84.0,5.0,38.0,3.464,565065662.0,565065662.0
0.02400282770395279,3.438096046447754,0.4221554100513458,75.0,7.0,40.0,3.464,565065667.0,565065667.0
0.02515199966728687,3.431137084960938,0.5434533357620239,86.0,9.0,42.0,3.474,565065672.0,565065672.0
0.02581382915377617,3.43952488899231,0.6685947179794312,39.0,11.0,43.0,3.504,565065676.0,565065676.0
0.0276938583701849,3.449363470077515,-0.06021080166101456,81.0,14.0,46.0,3.45,565065683.0,565065683.0
0.03299689665436745,3.437318086624146,0.06000137329101563,87.0,1.0,55.0,3.438,565065709.0,565065709.0
0.03429416567087174,3.44709849357605,0.1806637197732925,90.0,3.0,57.0,3.452,565065713.0,565065713.0
0.03489138931035996,3.446656942367554,0.3015588819980621,85.0,5.0,58.0,3.46,565065718.0,565065718.0
0.03606624156236649,3.443946361541748,0.4228866100311279,75.0,7.0,60.0,3.47,565065722.0,565065722.0
0.03717150166630745,3.43497896194458,0.544079065322876,87.0,9.0,62.0,3.478,565065727.0,565065727.0
0.03790619969367981,3.447266340255737,0.6701211929321289,38.0,11.0,63.0,3.512,565065732.0,565065732.0
0.0396651141345501,3.443247079849243,-0.06010608747601509,91.0,14.0,66.0,3.444,565065738.0,565065738.0
0.04494282603263855,3.433182716369629,0.05993156507611275,87.0,1.0,75.0,3.434,565065764.0,565065764.0
0.04635341838002205,3.448954820632935,0.1807683855295181,87.0,3.0,77.0,3.454,565065768.0,565065768.0
0.04692225530743599,3.446514368057251,0.3015588819980621,84.0,5.0,78.0,3.46,565065773.0,565065773.0
0.0481707863509655,3.449754238128662,0.4236178398132324,75.0,7.0,80.0,3.476,565065778.0,565065778.0
0.04927466809749603,3.442728996276856,0.5453305244445801,87.0,9.0,82.0,3.486,565065782.0,565065782.0
0.04993917420506477,3.447113037109375,0.6701211929321289,39.0,11.0,83.0,3.512,565065787.0,565065787.0
0.05186412855982781,3.455084323883057,-0.06031551584601402,91.0,14.0,86.0,3.456,565065794.0,565065794.0
0.05692659690976143,3.433005094528198,0.05993156507611275,90.0,1.0,95.0,3.434,565065819.0,565065819.0
0.05845985561609268,3.452766180038452,0.1809777319431305,85.0,3.0,97.0,3.458,565065824.0,565065824.0
0.05898662656545639,3.448321580886841,0.3017331957817078,83.0,5.0,98.0,3.462,565065828.0,565065828.0
0.06014309078454971,3.445595264434815,0.4231303632259369,75.0,7.0,100.0,3.472,565065833.0,565065833.0
0.06143239140510559,3.450436115264893,0.546582043170929,86.0,9.0,102.0,3.494,565065838.0,565065838.0
0.06183037534356117,3.439065933227539,0.6685947179794312,38.0,11.0,103.0,3.504,565065842.0,565065842.0
0.06396130472421646,3.456881761550903,-0.06035042181611061,81.0,14.0,106.0,3.458,565065849.0,565065849.0
