"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.03970379382371903,3.44660496711731,0.3015588819980621,77.0,5.0,66.0,3.46,1464424948.0,1464424948.0
0.04082773998379707,3.439922571182251,0.4223991334438324,71.0,7.0,68.0,3.466,1464424953.0,1464424953.0
0.04208826273679733,3.444799900054932,0.5456433892250061,86.0,9.0,70.0,3.488,1464424957.0,1464424957.0
0.04247617721557617,3.427578926086426,0.6663050055503845,34.0,11.0,71.0,3.492,1464424962.0,1464424962.0
0.04449857771396637,3.44518780708313,-0.06014099344611168,86.0,14.0,74.0,3.446,1464424969.0,1464424969.0
0.04982331022620201,3.439115285873413,0.06003627926111221,85.0,1.0,83.0,3.44,1464424994.0,1464424994.0
0.0510801337659359,3.442895650863648,0.1804543733596802,78.0,3.0,85.0,3.448,1464424999.0,1464424999.0
0.05179425701498985,3.450429677963257,0.301907479763031,77.0,5.0,86.0,3.464,1464425003.0,1464425003.0
0.05283506214618683,3.439759254455566,0.4223991334438324,70.0,7.0,88.0,3.466,1464425008.0,1464425008.0
0.05341935157775879,3.438715934753418,0.544704794883728,86.0,9.0,89.0,3.482,1464425012.0,1464425012.0
0.05462748184800148,3.43918776512146,0.6685947179794312,31.0,11.0,91.0,3.504,1464425017.0,1464425017.0
0.05652425810694695,3.445011377334595,-0.06014099344611168,81.0,14.0,94.0,3.446,1464425024.0,1464425024.0
0.06200749054551125,3.448917150497437,0.06021080166101456,90.0,1.0,103.0,3.45,1464425049.0,1464425049.0
0.06309777498245239,3.442696571350098,0.1804543733596802,78.0,3.0,105.0,3.448,1464425054.0,1464425054.0
0.06369075924158096,3.442259788513184,0.3012102544307709,74.0,5.0,106.0,3.456,1464425059.0,1464425059.0
0.06514106690883636,3.455431699752808,0.4243490397930145,69.0,7.0,108.0,3.482,1464425063.0,1464425063.0
0.06598459184169769,3.436522006988525,0.544391930103302,86.0,9.0,110.0,3.48,1464425068.0,1464425068.0
0.06693641096353531,3.454679250717163,0.6716476678848267,27.0,11.0,111.0,3.52,1464425072.0,1464425072.0
0.06846967339515686,3.440794467926025,-0.0600711815059185,81.0,14.0,114.0,3.442,1464425079.0,1464425079.0
0.0740460753440857,3.448679685592651,0.06021080166101456,87.0,1.0,123.0,3.45,1464425105.0,1464425105.0
0.07537606358528137,3.4544358253479,0.1810824126005173,79.0,3.0,125.0,3.46,1464425109.0,1464425109.0
0.0757061019539833,3.442016363143921,0.3012102544307709,74.0,5.0,126.0,3.456,1464425114.0,1464425114.0
0.07702500373125076,3.447244882583618,0.4233740866184235,73.0,7.0,128.0,3.474,1464425118.0,1464425118.0
0.07751356065273285,3.442209005355835,0.5453305244445801,86.0,9.0,129.0,3.486,1464425123.0,1464425123.0
0.07886043190956116,3.448536396026611,0.670502781867981,26.0,11.0,131.0,3.514,1464425128.0,1464425128.0
0.0806669294834137,3.448531150817871,-0.06021080166101456,81.0,14.0,134.0,3.45,1464425135.0,1464425135.0
0.08583424985408783,3.43840479850769,0.06003627926111221,82.0,1.0,143.0,3.44,1464425160.0,1464425160.0
0.08768653124570847,3.464134931564331,0.1816057711839676,84.0,3.0,145.0,3.47,1464425165.0,1464425165.0
0.08772051334381104,3.441731214523315,0.3012102544307709,77.0,5.0,146.0,3.456,1464425169.0,1464425169.0
0.08905766904354095,3.446954965591431,0.4233740866184235,71.0,7.0,148.0,3.474,1464425174.0,1464425174.0
0.08942591398954391,3.437968015670776,0.544704794883728,86.0,9.0,149.0,3.482,1464425178.0,1464425178.0
0.09074238687753677,3.442352294921875,0.66935795545578,24.0,11.0,151.0,3.508,1464425183.0,1464425183.0
0.09281153976917267,3.452226638793945,-0.06028061360120773,86.0,14.0,154.0,3.454,1464425190.0,1464425190.0
0.09812040627002716,3.448078632354736,0.06021080166101456,90.0,1.0,163.0,3.45,1464425215.0,1464425215.0
0.09954804927110672,3.455821990966797,0.1811870783567429,85.0,3.0,165.0,3.462,1464425220.0,1464425220.0
0.09996473044157028,3.44937014579773,0.301907479763031,77.0,5.0,166.0,3.464,1464425224.0,1464425224.0
0.1009728461503983,3.442654609680176,0.4228866100311279,69.0,7.0,168.0,3.47,1464425229.0,1464425229.0
0.1026707142591476,3.459336757659912,0.5481463670730591,74.0,9.0,170.0,3.504,1464425234.0,1464425234.0
0.1031679809093475,3.455751180648804,0.6720292568206787,23.0,11.0,171.0,3.522,1464425238.0,1464425238.0
0.1051043719053268,3.459876537322998,-0.06042023003101349,81.0,14.0,174.0,3.462,1464425245.0,1464425245.0
0.1103474274277687,3.453711271286011,0.06031551584601402,85.0,1.0,183.0,3.456,1464425271.0,1464425271.0
0.1114815548062325,3.45146107673645,0.1809777319431305,84.0,3.0,185.0,3.458,1464425275.0,1464425275.0
0.1123280078172684,3.458956956863403,0.3027790486812592,81.0,5.0,186.0,3.474,1464425280.0,1464425280.0
0.1132498309016228,3.450217247009277,0.423861563205719,71.0,7.0,188.0,3.478,1464425284.0,1464425284.0
0.1142214760184288,3.44316291809082,0.5456433892250061,87.0,9.0,190.0,3.488,1464425289.0,1464425289.0
0.1151647418737412,3.453408002853394,0.6716476678848267,20.0,11.0,191.0,3.52,1464425294.0,1464425294.0
0.1169778630137444,3.453493118286133,-0.06031551584601402,76.0,14.0,194.0,3.456,1464425300.0,1464425300.0
0.1226857900619507,3.461298704147339,0.06045513600111008,93.0,1.0,203.0,3.464,1464425326.0,1464425326.0
0.1236001700162888,3.453046798706055,0.1810824126005173,82.0,3.0,205.0,3.46,1464425330.0,1464425330.0
0.1240432485938072,3.448588371276856,0.301907479763031,74.0,5.0,206.0,3.464,1464425335.0,1464425335.0
0.1254367530345917,3.453768491744995,0.4243490397930145,70.0,7.0,208.0,3.482,1464425340.0,1464425340.0
0.126384437084198,3.446691274642944,0.5462691783905029,86.0,9.0,210.0,3.492,1464425344.0,1464425344.0
0.1275801062583923,3.462794542312622,0.6735557317733765,27.0,11.0,211.0,3.53,1464425349.0,1464425349.0
0.1285093873739243,3.439075469970703,-0.0600711815059185,50.0,14.0,214.0,3.442,1464425356.0,1464425356.0
0.1342225670814514,3.44686222076416,0.06021080166101456,80.0,1.0,223.0,3.45,1464425381.0,1464425381.0
0.1359664499759674,3.460577249526978,0.1815010905265808,78.0,3.0,225.0,3.468,1464425386.0,1464425386.0
0.1358446031808853,3.442161798477173,0.3013845682144165,45.0,5.0,226.0,3.458,1464425390.0,1464425390.0
0.1371759921312332,3.445375680923462,0.4233740866184235,24.0,7.0,228.0,3.474,1464425395.0,1464425395.0
0.1377806514501572,3.430438756942749,0.54376620054245,30.0,9.0,230.0,3.476,1464425400.0,1464425400.0
0.1407581567764282,3.444600105285645,-0.06017589569091797,20.0,14.0,234.0,3.448,1464425411.0,1464425411.0
0.1507192701101303,3.452039003372192,0.6716476678848267,103.0,11.0,250.0,3.52,1464425460.0,1464425460.0
0.1652490645647049,3.465533971786499,-0.06055985018610954,1.0,14.0,273.0,3.47,1464425523.0,1464425523.0
0.1773514747619629,3.476949453353882,-0.06076927855610848,1.0,14.0,292.0,3.482,1464425578.0,1464425578.0
-0.6401475071907043,3.381414890289307,-0.0600711815059185,1.0,14.0,34928.0,3.442,1464521858.0,1464521858.0
-0.6382332444190979,3.393985986709595,0.06028061360120773,105.0,1.0,34935.0,3.454,1464521883.0,1464521883.0
-0.6359038949012756,3.388110160827637,0.1806637197732925,99.0,3.0,34937.0,3.452,1464521888.0,1464521888.0
-0.6350139379501343,3.393167018890381,0.423861563205719,50.0,7.0,34940.0,3.478,1464521897.0,1464521897.0
-0.6267448663711548,3.398159742355347,0.06031551584601402,109.0,1.0,34955.0,3.456,1464521938.0,1464521938.0
-0.6269658803939819,3.406023263931274,0.1815010905265808,103.0,3.0,34957.0,3.468,1464521943.0,1464521943.0
-0.6199405789375305,3.377790689468384,0.4216679334640503,51.0,7.0,34960.0,3.46,1464521952.0,1464521952.0
-0.6145234107971191,3.398358821868897,0.06028061360120773,47.0,1.0,34975.0,3.454,1464521994.0,1464521994.0
-0.6125898361206055,3.394432544708252,0.1807683855295181,63.0,3.0,34977.0,3.454,1464521998.0,1464521998.0
-0.6094447374343872,3.380380630493164,0.3005129992961884,12.0,5.0,34978.0,3.448,1464522003.0,1464522003.0
-0.6055334806442261,3.385753154754639,-0.06003627926111221,16.0,14.0,34986.0,3.44,1464522024.0,1464522024.0
-0.544489860534668,3.388003349304199,-0.05989665910601616,1.0,14.0,35087.0,3.432,1464522300.0,1464522300.0
-0.5391424298286438,3.396337985992432,0.3008616268634796,39.0,5.0,35098.0,3.452,1464522336.0,1464522336.0
-0.5353655219078064,3.380164861679077,0.4202055037021637,42.0,7.0,35100.0,3.448,1464522340.0,1464522340.0
-0.5202760100364685,3.349178552627564,0.1776282340288162,87.0,3.0,35117.0,3.394,1464522386.0,1464522386.0
-0.5269782543182373,3.396230459213257,0.300687313079834,101.0,5.0,35118.0,3.45,1464522391.0,1464522391.0
-0.5244743824005127,3.387898206710815,0.4209367036819458,54.0,7.0,35120.0,3.454,1464522395.0,1464522395.0
-0.5148949027061462,3.388581991195679,0.05982685089111328,108.0,1.0,35136.0,3.428,1464522437.0,1464522437.0
-0.5139765739440918,3.386518001556397,0.1795123368501663,103.0,3.0,35137.0,3.43,1464522442.0,1464522442.0
-0.5115441083908081,3.378439664840698,0.2989442050457001,52.0,5.0,35139.0,3.43,1464522446.0,1464522446.0
-0.5120535492897034,3.389797925949097,0.4209367036819458,22.0,7.0,35141.0,3.454,1464522451.0,1464522451.0
-0.5128374695777893,3.419227838516235,-0.06035042181611061,100.0,14.0,35147.0,3.458,1464522467.0,1464522467.0
-0.4185790121555328,3.399242639541626,0.2996414303779602,48.0,5.0,35298.0,3.438,1464522888.0,1464522888.0
-0.4158637523651123,3.386938333511353,0.4189867973327637,54.0,7.0,35300.0,3.438,1464522893.0,1464522893.0
-0.4161248803138733,3.393962144851685,0.5415761470794678,68.0,9.0,35301.0,3.462,1464522898.0,1464522898.0
