"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.01860926486551762,3.439425706863403,0.06003627926111221,85.0,1.0,31.0,3.44,1199465522.0,1199465522.0
0.01987774111330509,3.45120644569397,0.1808730661869049,79.0,3.0,33.0,3.456,1199465526.0,1199465526.0
0.02040651068091393,3.438803434371948,0.3008616268634796,71.0,5.0,34.0,3.452,1199465531.0,1199465531.0
0.0216399971395731,3.444067239761353,0.4228866100311279,71.0,7.0,36.0,3.47,1199465536.0,1199465536.0
0.02219602651894093,3.437083721160889,0.544391930103302,84.0,9.0,37.0,3.48,1199465540.0,1199465540.0
0.02338585443794727,3.435615539550781,0.6678314805030823,38.0,11.0,39.0,3.5,1199465545.0,1199465545.0
0.02519779279828072,3.437384128570557,-0.06000137329101563,86.0,14.0,42.0,3.438,1199465552.0,1199465552.0
0.03052599169313908,3.429341793060303,0.05986175313591957,80.0,1.0,51.0,3.43,1199465577.0,1199465577.0
0.0319800041615963,3.457107543945313,0.1811870783567429,83.0,3.0,53.0,3.462,1199465582.0,1199465582.0
0.03248516097664833,3.446680545806885,0.3015588819980621,74.0,5.0,54.0,3.46,1199465586.0,1199465586.0
0.03366190195083618,3.443970680236816,0.4228866100311279,70.0,7.0,56.0,3.47,1199465591.0,1199465591.0
0.03479341790080071,3.436979293823242,0.544391930103302,86.0,9.0,58.0,3.48,1199465596.0,1199465596.0
0.03537824749946594,3.435513019561768,0.6678314805030823,35.0,11.0,59.0,3.5,1199465600.0,1199465600.0
0.03732617944478989,3.449272632598877,-0.06021080166101456,96.0,14.0,62.0,3.45,1199465607.0,1199465607.0
0.04257078096270561,3.435212850570679,0.05996646732091904,82.0,1.0,71.0,3.436,1199465632.0,1199465632.0
0.04397102817893028,3.45098352432251,0.1808730661869049,79.0,3.0,73.0,3.456,1199465637.0,1199465637.0
0.04451612383127213,3.446546077728272,0.3015588819980621,74.0,5.0,74.0,3.46,1199465642.0,1199465642.0
0.04568339884281158,3.443832159042358,0.4228866100311279,70.0,7.0,76.0,3.47,1199465646.0,1199465646.0
0.04632339254021645,3.446721076965332,0.5459562540054321,86.0,9.0,77.0,3.49,1199465651.0,1199465651.0
0.04737021028995514,3.435368537902832,0.6678314805030823,35.0,11.0,79.0,3.5,1199465655.0,1199465655.0
