"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp"
0.01915371604263783,3.429424047470093,0.05986175313591957,87.0,1.0,32.0,3.43,742749269.0,742749269.0
0.02051564678549767,3.457194566726685,0.1811870783567429,85.0,3.0,34.0,3.462,742749274.0,742749274.0
0.02101886458694935,3.440792322158814,0.3010359406471252,84.0,5.0,35.0,3.454,742749279.0,742749279.0
0.02226673811674118,3.448033332824707,0.4233740866184235,75.0,7.0,37.0,3.474,742749283.0,742749283.0
0.02284831553697586,3.444981098175049,0.5456433892250061,86.0,9.0,38.0,3.488,742749288.0,742749288.0
0.02401289343833923,3.439537763595581,0.6685947179794312,41.0,11.0,40.0,3.504,742749293.0,742749293.0
0.02585775777697563,3.445378065109253,-0.06014099344611168,86.0,14.0,43.0,3.446,742749299.0,742749299.0
0.03114267252385616,3.431335926055908,0.05989665910601616,85.0,1.0,52.0,3.432,742749325.0,742749325.0
0.0319800041615963,3.457107543945313,0.1811870783567429,85.0,3.0,53.0,3.462,742749329.0,742749329.0
0.03308672085404396,3.446674823760986,0.3015588819980621,83.0,5.0,55.0,3.46,742749334.0,742749334.0
0.03426298871636391,3.443964719772339,0.4228866100311279,75.0,7.0,57.0,3.47,742749339.0,742749339.0
0.03549499064683914,3.446849584579468,0.5459562540054321,86.0,9.0,59.0,3.49,742749343.0,742749343.0
0.03593673929572105,3.431580543518066,0.6670682430267334,38.0,11.0,60.0,3.496,742749348.0,742749348.0
0.0379941500723362,3.455264806747437,-0.06031551584601402,91.0,14.0,63.0,3.456,742749355.0,742749355.0
0.04317033663392067,3.435205459594727,0.05996646732091904,85.0,1.0,72.0,3.436,742749380.0,742749380.0
0.04394558072090149,3.448986530303955,0.1807683855295181,85.0,3.0,73.0,3.454,742749385.0,742749385.0
0.04519589617848396,3.452515125274658,0.3020817935466766,84.0,5.0,75.0,3.466,742749389.0,742749389.0
0.04623110592365265,3.439854383468628,0.4223991334438324,75.0,7.0,77.0,3.466,742749394.0,742749394.0
0.04692495986819267,3.446712970733643,0.5459562540054321,86.0,9.0,78.0,3.49,742749399.0,742749399.0
0.04805202782154083,3.441249370574951,0.668976366519928,38.0,11.0,80.0,3.506,742749403.0,742749403.0
0.05008401349186897,3.457110643386841,-0.06035042181611061,86.0,14.0,83.0,3.458,742749410.0,742749410.0
0.05519328638911247,3.437033176422119,0.06000137329101563,87.0,1.0,92.0,3.438,742749435.0,742749435.0
0.05598452314734459,3.448812007904053,0.1807683855295181,87.0,3.0,93.0,3.454,742749440.0,742749440.0
0.05728018283843994,3.454328298568726,0.3022561073303223,80.0,5.0,95.0,3.468,742749445.0,742749445.0
0.05823815613985062,3.439671993255615,0.4223991334438324,75.0,7.0,97.0,3.466,742749449.0,742749449.0
0.05888837575912476,3.442577838897705,0.5453305244445801,86.0,9.0,98.0,3.486,742749454.0,742749454.0
0.06009820103645325,3.443023681640625,0.66935795545578,38.0,11.0,100.0,3.508,742749458.0,742749458.0
0.06207938119769096,3.452915906906128,-0.06028061360120773,86.0,14.0,103.0,3.454,742749465.0,742749465.0
0.0661059245467186,3.442840814590454,0.06010608747601509,82.0,1.0,110.0,3.444,742749491.0,742749491.0
0.06681898981332779,3.44861912727356,0.1807683855295181,87.0,3.0,111.0,3.454,742749495.0,742749495.0
0.06813197582960129,3.454131364822388,0.3022561073303223,83.0,5.0,113.0,3.468,742749500.0,742749500.0
0.06916341930627823,3.445426225662231,0.4231303632259369,75.0,7.0,115.0,3.472,742749504.0,742749504.0
0.06966325640678406,3.440401077270508,0.545017659664154,86.0,9.0,116.0,3.484,742749509.0,742749509.0
0.07099532335996628,3.446743488311768,0.6701211929321289,35.0,11.0,118.0,3.512,742749514.0,742749514.0
0.07284225523471832,3.448705434799194,-0.06021080166101456,81.0,14.0,121.0,3.45,742749521.0,742749521.0
0.07812327891588211,3.442589044570923,0.06010608747601509,85.0,1.0,130.0,3.444,742749546.0,742749546.0
0.07903915643692017,3.456351757049561,0.1811870783567429,85.0,3.0,131.0,3.462,742749551.0,742749551.0
0.08000374585390091,3.445904970169067,0.3015588819980621,81.0,5.0,133.0,3.46,742749555.0,742749555.0
0.08147039264440536,3.45707106590271,0.4245927929878235,75.0,7.0,135.0,3.484,742749560.0,742749560.0
0.08181272447109222,3.446061372756958,0.5459562540054321,86.0,9.0,136.0,3.49,742749564.0,742749564.0
0.08312083780765533,3.450400114059448,0.6708844304084778,37.0,11.0,138.0,3.516,742749569.0,742749569.0
0.08497845381498337,3.452428340911865,-0.06028061360120773,86.0,14.0,141.0,3.454,742749576.0,742749576.0
0.08993029594421387,3.434299468994141,0.05996646732091904,85.0,1.0,150.0,3.436,742749601.0,742749601.0
0.0919187068939209,3.464025259017944,0.1816057711839676,83.0,3.0,152.0,3.47,742749606.0,742749606.0
0.09219130873680115,3.451579809188843,0.3020817935466766,84.0,5.0,153.0,3.466,742749610.0,742749610.0
0.09332254528999329,3.448827981948853,0.4236178398132324,75.0,7.0,155.0,3.476,742749615.0,742749615.0
0.09394877403974533,3.449703931808472,0.546582043170929,84.0,9.0,156.0,3.494,742749620.0,742749620.0
0.0950562134385109,3.446163892745972,0.6701211929321289,34.0,11.0,158.0,3.512,742749624.0,742749624.0
0.09736625850200653,3.464103937149048,-0.06049004197120667,86.0,14.0,161.0,3.466,742749631.0,742749631.0
0.1021549850702286,3.441959857940674,0.06010608747601509,85.0,1.0,170.0,3.444,742749657.0,742749657.0
0.1037700548768044,3.455697774887085,0.1811870783567429,87.0,3.0,172.0,3.462,742749661.0,742749661.0
0.1044194549322128,3.457211494445801,0.3026047348976135,83.0,5.0,173.0,3.472,742749666.0,742749666.0
0.1051787659525871,3.44252872467041,0.4228866100311279,75.0,7.0,175.0,3.47,742749670.0,742749670.0
0.1068359985947609,3.457234144210815,0.5478335022926331,74.0,9.0,177.0,3.502,742749675.0,742749675.0
0.1073289141058922,3.453660249710083,0.6716476678848267,31.0,11.0,178.0,3.52,742749680.0,742749680.0
0.1095839664340019,3.467740535736084,-0.06055985018610954,81.0,14.0,181.0,3.47,742749687.0,742749687.0
0.1149696558713913,3.447558164596558,0.06021080166101456,80.0,1.0,191.0,3.45,742749712.0,742749712.0
0.1164351254701614,3.455294132232666,0.1811870783567429,85.0,3.0,193.0,3.462,742749716.0,742749716.0
0.1173598617315292,3.464770555496216,0.303301990032196,83.0,5.0,194.0,3.48,742749721.0,742749721.0
0.118067130446434,3.450055837631226,0.423861563205719,75.0,7.0,196.0,3.478,742749726.0,742749726.0
0.1186317279934883,3.448943376541138,0.546582043170929,84.0,9.0,197.0,3.494,742749730.0,742749730.0
0.1199864968657494,3.453243732452393,0.6716476678848267,27.0,11.0,199.0,3.52,742749735.0,742749735.0
